source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2021-01-01,1,2021-01-01T00:00:00Z,73.15,73.15,843.69,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,2,2021-01-01T00:30:00Z,73.15,73.15,934.58,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,3,2021-01-01T01:00:00Z,72.00,72.00,604.73,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,4,2021-01-01T01:30:00Z,71.90,71.90,307.34,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,5,2021-01-01T02:00:00Z,71.50,71.50,48.88,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,6,2021-01-01T02:30:00Z,37.61,37.61,-48.88,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,7,2021-01-01T03:00:00Z,71.50,71.50,55.11,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,8,2021-01-01T03:30:00Z,69.95,69.95,119.01,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,9,2021-01-01T04:00:00Z,69.95,69.95,74.64,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,10,2021-01-01T04:30:00Z,40.00,40.00,-66.19,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,11,2021-01-01T05:00:00Z,40.00,40.00,-43.25,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,12,2021-01-01T05:30:00Z,38.00,38.00,-74.25,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,13,2021-01-01T06:00:00Z,57.78,57.78,-4.40,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,14,2021-01-01T06:30:00Z,29.50,29.50,-79.58,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,15,2021-01-01T07:00:00Z,29.01,29.01,-417.97,2026-05-26T02:09:23.370650Z
Elexon BMRS System Prices,2021-01-01,16,2021-01-01T07:30:00Z,29.01,29.01,-437.56,2026-05-26T02:09:23.370650Z
