source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2022-01-01,1,2022-01-01T00:00:00Z,13.51,13.51,-661.38,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,2,2022-01-01T00:30:00Z,13.51,13.51,-712.81,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,3,2022-01-01T01:00:00Z,42.13,42.13,-208.30,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,4,2022-01-01T01:30:00Z,22.51,22.51,-352.38,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,5,2022-01-01T02:00:00Z,5.20,5.20,-376.17,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,6,2022-01-01T02:30:00Z,-1.40,-1.40,-649.92,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,7,2022-01-01T03:00:00Z,0.82,0.82,-334.33,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,8,2022-01-01T03:30:00Z,-47.31,-47.31,-843.54,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,9,2022-01-01T04:00:00Z,-65.64,-65.64,-655.31,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,10,2022-01-01T04:30:00Z,-71.42,-71.42,-910.38,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,11,2022-01-01T05:00:00Z,-74.58,-74.58,-927.02,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,12,2022-01-01T05:30:00Z,-77.55,-77.55,-1169.65,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,13,2022-01-01T06:00:00Z,-74.58,-74.58,-1072.61,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,14,2022-01-01T06:30:00Z,-74.44,-74.44,-918.51,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,15,2022-01-01T07:00:00Z,-74.77,-74.77,-936.00,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,16,2022-01-01T07:30:00Z,-75.54,-75.54,-1046.35,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,17,2022-01-01T08:00:00Z,-75.54,-75.54,-938.03,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,18,2022-01-01T08:30:00Z,-74.44,-74.44,-686.70,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,19,2022-01-01T09:00:00Z,-71.00,-71.00,-416.93,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,20,2022-01-01T09:30:00Z,9.78,9.78,-213.92,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,21,2022-01-01T10:00:00Z,19.27,19.27,-90.90,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,22,2022-01-01T10:30:00Z,0.00,0.00,3.75,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,23,2022-01-01T11:00:00Z,45.10,45.10,-562.99,2026-05-26T02:05:09.676876Z
Elexon BMRS System Prices,2022-01-01,24,2022-01-01T11:30:00Z,45.10,45.10,-255.04,2026-05-26T02:05:09.676876Z
