source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2024-01-01,1,2024-01-01T00:00:00Z,90.00,90.00,103.35,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,2,2024-01-01T00:30:00Z,100.00,100.00,197.54,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,3,2024-01-01T01:00:00Z,57.43,57.43,458.26,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,4,2024-01-01T01:30:00Z,129.84,129.84,492.02,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,5,2024-01-01T02:00:00Z,110.00,110.00,407.51,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,6,2024-01-01T02:30:00Z,100.00,100.00,309.29,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,7,2024-01-01T03:00:00Z,100.00,100.00,261.74,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,8,2024-01-01T03:30:00Z,98.00,98.00,176.83,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,9,2024-01-01T04:00:00Z,98.00,98.00,183.10,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,10,2024-01-01T04:30:00Z,99.37,99.37,848.63,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,11,2024-01-01T05:00:00Z,99.00,99.00,870.02,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,12,2024-01-01T05:30:00Z,132.00,132.00,1014.50,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,13,2024-01-01T06:00:00Z,98.00,98.00,146.09,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,14,2024-01-01T06:30:00Z,99.00,99.00,273.21,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,15,2024-01-01T07:00:00Z,99.00,99.00,161.88,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,16,2024-01-01T07:30:00Z,98.00,98.00,80.20,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,17,2024-01-01T08:00:00Z,17.00,17.00,-16.28,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,18,2024-01-01T08:30:00Z,92.00,92.00,137.41,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,19,2024-01-01T09:00:00Z,92.00,92.00,42.60,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,20,2024-01-01T09:30:00Z,92.00,92.00,112.95,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,21,2024-01-01T10:00:00Z,92.00,92.00,127.53,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,22,2024-01-01T10:30:00Z,92.00,92.00,126.11,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,23,2024-01-01T11:00:00Z,92.00,92.00,34.17,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,24,2024-01-01T11:30:00Z,92.00,92.00,99.81,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,25,2024-01-01T12:00:00Z,92.00,92.00,48.37,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,26,2024-01-01T12:30:00Z,15.00,15.00,-44.69,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,27,2024-01-01T13:00:00Z,78.00,78.00,113.40,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,28,2024-01-01T13:30:00Z,109.00,109.00,304.02,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,29,2024-01-01T14:00:00Z,97.99,97.99,355.25,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,30,2024-01-01T14:30:00Z,105.00,105.00,312.57,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,31,2024-01-01T15:00:00Z,40.00,40.00,-11.94,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,32,2024-01-01T15:30:00Z,40.00,40.00,-15.21,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,33,2024-01-01T16:00:00Z,36.90,36.90,-147.34,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,34,2024-01-01T16:30:00Z,40.00,40.00,-87.40,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,35,2024-01-01T17:00:00Z,90.75,90.75,90.03,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,36,2024-01-01T17:30:00Z,99.95,99.95,129.24,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,37,2024-01-01T18:00:00Z,90.75,90.75,36.73,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,38,2024-01-01T18:30:00Z,15.21,15.21,-217.13,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,39,2024-01-01T19:00:00Z,35.00,35.00,-114.38,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,40,2024-01-01T19:30:00Z,10.50,10.50,-387.81,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,41,2024-01-01T20:00:00Z,10.00,10.00,-352.44,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,42,2024-01-01T20:30:00Z,10.00,10.00,-583.92,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,43,2024-01-01T21:00:00Z,10.00,10.00,-546.50,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,44,2024-01-01T21:30:00Z,0.00,0.00,-412.66,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,45,2024-01-01T22:00:00Z,-10.00,-10.00,-668.18,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,46,2024-01-01T22:30:00Z,-25.00,-25.00,-836.32,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,47,2024-01-01T23:00:00Z,-8.15,-8.15,-841.23,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-01,48,2024-01-01T23:30:00Z,-16.86,-16.86,-1074.62,2026-05-26T01:56:38.935620Z
Elexon BMRS System Prices,2024-01-02,1,2024-01-02T00:00:00Z,-46.32,-46.32,-602.66,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,2,2024-01-02T00:30:00Z,-44.76,-44.76,-552.96,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,3,2024-01-02T01:00:00Z,-31.00,-31.00,-323.01,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,4,2024-01-02T01:30:00Z,-44.76,-44.76,-466.88,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,5,2024-01-02T02:00:00Z,-44.76,-44.76,-385.06,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,6,2024-01-02T02:30:00Z,-29.56,-29.56,-207.14,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,7,2024-01-02T03:00:00Z,-29.56,-29.56,-93.39,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,8,2024-01-02T03:30:00Z,-29.56,-29.56,-163.18,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,9,2024-01-02T04:00:00Z,-29.56,-29.56,-241.89,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,10,2024-01-02T04:30:00Z,-29.56,-29.56,-95.40,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,11,2024-01-02T05:00:00Z,-12.27,-12.27,-251.79,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,12,2024-01-02T05:30:00Z,0.47,0.47,-103.39,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,13,2024-01-02T06:00:00Z,26.23,26.23,-314.16,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,14,2024-01-02T06:30:00Z,26.23,26.23,-305.27,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,15,2024-01-02T07:00:00Z,33.72,33.72,-543.61,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,16,2024-01-02T07:30:00Z,33.72,33.72,-585.19,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,17,2024-01-02T08:00:00Z,10.00,10.00,-601.76,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,18,2024-01-02T08:30:00Z,6.06,6.06,-438.88,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,19,2024-01-02T09:00:00Z,6.06,6.06,-430.18,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,20,2024-01-02T09:30:00Z,6.06,6.06,-89.19,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,21,2024-01-02T10:00:00Z,11.00,11.00,-245.72,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,22,2024-01-02T10:30:00Z,108.75,108.75,197.71,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,23,2024-01-02T11:00:00Z,109.00,109.00,148.67,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,24,2024-01-02T11:30:00Z,10.00,10.00,-313.03,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,25,2024-01-02T12:00:00Z,26.00,26.00,-105.51,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,26,2024-01-02T12:30:00Z,108.50,108.50,18.44,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,27,2024-01-02T13:00:00Z,108.75,108.75,55.51,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,28,2024-01-02T13:30:00Z,35.00,35.00,-7.86,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,29,2024-01-02T14:00:00Z,95.82,95.82,44.46,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,30,2024-01-02T14:30:00Z,97.00,97.00,66.59,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,31,2024-01-02T15:00:00Z,104.75,104.75,165.72,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,32,2024-01-02T15:30:00Z,104.75,104.75,284.24,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,33,2024-01-02T16:00:00Z,102.50,102.50,171.62,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,34,2024-01-02T16:30:00Z,97.00,97.00,9.69,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,35,2024-01-02T17:00:00Z,97.00,97.00,47.68,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,36,2024-01-02T17:30:00Z,97.00,97.00,64.65,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,37,2024-01-02T18:00:00Z,97.00,97.00,16.91,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,38,2024-01-02T18:30:00Z,99.00,99.00,161.89,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,39,2024-01-02T19:00:00Z,111.33,111.33,668.61,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,40,2024-01-02T19:30:00Z,97.00,97.00,534.20,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,41,2024-01-02T20:00:00Z,93.00,93.00,148.05,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,42,2024-01-02T20:30:00Z,35.06,35.06,-29.54,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,43,2024-01-02T21:00:00Z,34.00,34.00,-201.20,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,44,2024-01-02T21:30:00Z,32.00,32.00,-252.59,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,45,2024-01-02T22:00:00Z,32.00,32.00,-238.23,2026-05-26T01:56:39.642238Z
Elexon BMRS System Prices,2024-01-02,46,2024-01-02T22:30:00Z,32.00,32.00,-243.82,2026-05-26T01:56:39.642238Z
