source,settlementDate,settlementPeriod,periodStartUTC,systemBuyPriceGBPperMWh,systemSellPriceGBPperMWh,netImbalanceVolumeMWh,fetchedAtUTC
Elexon BMRS System Prices,2018-01-01,1,2018-01-01T00:00:00Z,55.94,55.94,38.53,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,2,2018-01-01T00:30:00Z,55.94,55.94,167.38,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,3,2018-01-01T01:00:00Z,62.94,62.94,109.89,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,4,2018-01-01T01:30:00Z,31.00,31.00,-143.32,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,5,2018-01-01T02:00:00Z,60.81,60.81,70.71,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,6,2018-01-01T02:30:00Z,65.00,65.00,153.49,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,7,2018-01-01T03:00:00Z,67.86,67.86,383.48,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,8,2018-01-01T03:30:00Z,65.77,65.77,303.59,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,9,2018-01-01T04:00:00Z,64.02,64.02,162.17,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,10,2018-01-01T04:30:00Z,61.42,61.42,34.65,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,11,2018-01-01T05:00:00Z,59.65,59.65,50.93,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,12,2018-01-01T05:30:00Z,65.00,65.00,266.65,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,13,2018-01-01T06:00:00Z,65.00,65.00,564.92,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,14,2018-01-01T06:30:00Z,65.00,65.00,549.97,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,15,2018-01-01T07:00:00Z,65.00,65.00,173.61,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,16,2018-01-01T07:30:00Z,63.92,63.92,24.43,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,17,2018-01-01T08:00:00Z,18.17,18.17,-331.79,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,18,2018-01-01T08:30:00Z,21.84,21.84,-40.57,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,19,2018-01-01T09:00:00Z,55.94,55.94,156.88,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,20,2018-01-01T09:30:00Z,64.96,64.96,337.07,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,21,2018-01-01T10:00:00Z,62.42,62.42,270.31,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,22,2018-01-01T10:30:00Z,65.00,65.00,584.93,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,23,2018-01-01T11:00:00Z,66.03,66.03,657.94,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,24,2018-01-01T11:30:00Z,68.00,68.00,784.02,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,25,2018-01-01T12:00:00Z,68.00,68.00,530.25,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,26,2018-01-01T12:30:00Z,68.00,68.00,429.52,2026-05-26T02:22:15.809116Z
Elexon BMRS System Prices,2018-01-01,27,2018-01-01T13:00:00Z,69.90,69.90,562.78,2026-05-26T02:22:15.809116Z
