time,technology,generationMW,source
2017-09-30T22:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Gas,10621.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Hydro,463.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Imports & Exports,2868.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Nuclear,7387.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Other,835.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Pumped Storage,-18.000,Elexon BMRS FUELHH
2017-09-30T22:30:00Z,Wind,2143.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Gas,9714.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Hydro,393.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Imports & Exports,2826.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Nuclear,7389.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Other,836.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Pumped Storage,-184.000,Elexon BMRS FUELHH
2017-09-30T23:00:00Z,Wind,2166.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Gas,8930.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Hydro,365.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Imports & Exports,2786.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Nuclear,7418.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Other,833.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Pumped Storage,-280.000,Elexon BMRS FUELHH
2017-09-30T23:30:00Z,Wind,2259.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Gas,8070.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Hydro,343.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Imports & Exports,2886.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Nuclear,7441.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Other,830.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Pumped Storage,-210.000,Elexon BMRS FUELHH
2017-10-01T00:00:00Z,Wind,2461.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Gas,7938.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Hydro,340.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Imports & Exports,2926.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Nuclear,7463.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Other,831.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Pumped Storage,-306.000,Elexon BMRS FUELHH
2017-10-01T00:30:00Z,Wind,2537.000,Elexon BMRS FUELHH
2017-10-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2017-10-01T01:00:00Z,Gas,7643.000,Elexon BMRS FUELHH
2017-10-01T01:00:00Z,Hydro,338.000,Elexon BMRS FUELHH
2017-10-01T01:00:00Z,Imports & Exports,2788.000,Elexon BMRS FUELHH
