week_start_utc,sample_count,avg_hz,min_hz,max_hz,samples_below_49_9,samples_above_50_1,largest_deviation_hz,data_health
2026-05-25T00:00:00Z,9,50.106,50.106,50.106,0,9,0.106,thin_sample
2026-06-01T00:00:00Z,3,49.978,49.978,49.978,0,0,0.022,thin_sample
