source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,BIOMASS,982.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,CCGT,2789.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,COAL,229.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTELEC,997.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTEW,-56.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTFR,432.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTIFA2,-4.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTIRL,-148.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTNED,788.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTNEM,996.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTNSL,298.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,INTVKL,513.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,NPSHYD,537.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,NUCLEAR,4673.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,OCGT,0.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,OIL,0.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,OTHER,225.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,PS,-879.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
Elexon BMRS FUELINST,2023-12-31T23:55:00Z,WIND,10031.000,2024-01-01T00:00:00Z,2026-06-10T23:49:29.975891Z
