source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,BIOMASS,730.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,CCGT,4079.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,COAL,0.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTELEC,92.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTEW,-211.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTFR,-48.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTGRNL,-199.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTIFA2,-74.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTIRL,-360.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTNED,-1033.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTNEM,-916.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTNSL,0.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,INTVKL,-1091.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,NPSHYD,140.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,NUCLEAR,3741.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,OCGT,35.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,OIL,0.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,OTHER,186.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,PS,-261.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Sheffield Solar PVLive,2025-09-01T00:00:00Z,SOLAR,0.000,,2026-06-11T23:59:41.696594Z
Elexon BMRS FUELINST,2025-09-01T00:00:00Z,WIND,13729.000,2025-09-01T00:05:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,BIOMASS,729.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,CCGT,4140.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,COAL,0.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTELEC,99.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTEW,-185.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTFR,-56.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTGRNL,-200.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTIFA2,-139.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTIRL,-360.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTNED,-1033.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTNEM,-917.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTNSL,0.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,INTVKL,-1091.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,NPSHYD,139.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,NUCLEAR,3745.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,OCGT,35.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,OIL,0.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,OTHER,212.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
Elexon BMRS FUELINST,2025-09-01T00:05:00Z,PS,-289.000,2025-09-01T00:10:00Z,2026-06-11T23:59:41.364260Z
