time,technology,generationMW,source
2024-04-30T23:00:00Z,Biomass,3121.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Coal,299.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Gas,3780.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Hydro,140.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Imports & Exports,5018.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Nuclear,5386.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Other,218.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Pumped Storage,138.000,Elexon BMRS FUELHH
2024-04-30T23:00:00Z,Wind,4365.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Biomass,3121.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Coal,376.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Gas,4031.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Hydro,139.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Imports & Exports,5034.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Nuclear,5385.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Other,167.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Pumped Storage,-22.000,Elexon BMRS FUELHH
2024-04-30T23:30:00Z,Wind,4144.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Biomass,3114.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Coal,338.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Gas,4414.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Hydro,137.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Imports & Exports,4580.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Nuclear,5389.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Other,242.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Pumped Storage,22.000,Elexon BMRS FUELHH
2024-05-01T00:00:00Z,Wind,4168.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Biomass,3114.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Coal,231.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Gas,4618.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Hydro,135.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Imports & Exports,4638.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Nuclear,5389.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Other,194.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Pumped Storage,-36.000,Elexon BMRS FUELHH
2024-05-01T00:30:00Z,Wind,4384.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Biomass,3117.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Coal,231.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Gas,4288.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Hydro,121.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Imports & Exports,4582.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Nuclear,5388.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Other,138.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Pumped Storage,-72.000,Elexon BMRS FUELHH
2024-05-01T01:00:00Z,Wind,4840.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Biomass,3111.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Coal,238.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Gas,3903.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Hydro,129.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Imports & Exports,4610.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Nuclear,5388.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Other,184.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Pumped Storage,-50.000,Elexon BMRS FUELHH
2024-05-01T01:30:00Z,Wind,4567.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Biomass,3104.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Coal,234.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Gas,3916.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Hydro,129.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Imports & Exports,4654.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Nuclear,5389.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Other,143.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Pumped Storage,-300.000,Elexon BMRS FUELHH
2024-05-01T02:00:00Z,Wind,4669.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Biomass,3113.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Coal,239.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Gas,3844.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Hydro,119.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Imports & Exports,4726.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Nuclear,5385.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Other,204.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Pumped Storage,-298.000,Elexon BMRS FUELHH
2024-05-01T02:30:00Z,Wind,4063.000,Elexon BMRS FUELHH
2024-05-01T03:00:00Z,Biomass,3117.000,Elexon BMRS FUELHH
2024-05-01T03:00:00Z,Coal,231.000,Elexon BMRS FUELHH
