time,technology,generationMW,source
2024-03-01T00:00:00Z,Biomass,2287.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Gas,7613.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Hydro,502.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Imports & Exports,8072.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Nuclear,3787.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Other,188.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Pumped Storage,-12.000,Elexon BMRS FUELHH
2024-03-01T00:00:00Z,Wind,3734.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Biomass,2293.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Gas,7699.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Hydro,527.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Imports & Exports,8262.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Nuclear,3783.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Other,214.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Pumped Storage,62.000,Elexon BMRS FUELHH
2024-03-01T00:30:00Z,Wind,3615.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Biomass,2290.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Gas,7996.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Hydro,476.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Imports & Exports,8128.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Nuclear,3782.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Other,262.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Pumped Storage,-172.000,Elexon BMRS FUELHH
2024-03-01T01:00:00Z,Wind,3397.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Biomass,2293.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Gas,7829.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Hydro,475.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Imports & Exports,7936.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Nuclear,3778.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Other,199.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Pumped Storage,-508.000,Elexon BMRS FUELHH
2024-03-01T01:30:00Z,Wind,3471.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Biomass,2288.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Gas,7751.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Hydro,469.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Imports & Exports,7874.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Nuclear,3782.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Other,205.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Pumped Storage,-816.000,Elexon BMRS FUELHH
2024-03-01T02:00:00Z,Wind,3595.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Biomass,2282.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Gas,7021.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Hydro,428.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Imports & Exports,7854.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Nuclear,3786.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Other,186.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Pumped Storage,-1036.000,Elexon BMRS FUELHH
2024-03-01T02:30:00Z,Wind,4357.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Biomass,2276.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Gas,6699.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Hydro,426.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Imports & Exports,7286.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Nuclear,3785.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Other,187.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Pumped Storage,-1230.000,Elexon BMRS FUELHH
2024-03-01T03:00:00Z,Wind,5304.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Biomass,2281.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Gas,6069.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Hydro,428.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Imports & Exports,7238.000,Elexon BMRS FUELHH
2024-03-01T03:30:00Z,Nuclear,3785.000,Elexon BMRS FUELHH
