time,technology,generationMW,source
2016-06-30T22:30:00Z,Coal,885.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Gas,8987.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Hydro,31.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Imports & Exports,2756.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Nuclear,6688.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Other,1377.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Pumped Storage,-18.000,Elexon BMRS FUELHH
2016-06-30T22:30:00Z,Wind,2973.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Coal,794.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Gas,8135.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Hydro,30.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Nuclear,6649.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Other,1141.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Pumped Storage,-512.000,Elexon BMRS FUELHH
2016-06-30T23:00:00Z,Wind,2959.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Coal,795.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Gas,8073.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Hydro,28.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Nuclear,6523.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Other,808.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Pumped Storage,-614.000,Elexon BMRS FUELHH
2016-06-30T23:30:00Z,Wind,2801.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Coal,792.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Gas,8138.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Hydro,28.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Nuclear,6520.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Other,716.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Pumped Storage,-916.000,Elexon BMRS FUELHH
2016-07-01T00:00:00Z,Wind,2820.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Coal,638.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Gas,8523.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Hydro,28.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Nuclear,6529.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Other,737.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Pumped Storage,-1346.000,Elexon BMRS FUELHH
2016-07-01T00:30:00Z,Wind,2829.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Coal,537.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Gas,8713.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Hydro,27.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Nuclear,6534.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Other,739.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Pumped Storage,-1686.000,Elexon BMRS FUELHH
2016-07-01T01:00:00Z,Wind,2726.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Coal,538.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Gas,8878.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Hydro,27.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Nuclear,6547.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Other,760.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Pumped Storage,-1936.000,Elexon BMRS FUELHH
2016-07-01T01:30:00Z,Wind,2567.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Coal,534.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Gas,8756.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Hydro,26.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Nuclear,6606.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Other,782.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Pumped Storage,-1928.000,Elexon BMRS FUELHH
2016-07-01T02:00:00Z,Wind,2619.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Coal,530.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Gas,8536.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Hydro,25.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Imports & Exports,2784.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Nuclear,6644.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Other,803.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Pumped Storage,-1924.000,Elexon BMRS FUELHH
2016-07-01T02:30:00Z,Wind,2775.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Coal,532.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Gas,8503.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Hydro,25.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Imports & Exports,2780.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Nuclear,6651.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Other,764.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Pumped Storage,-1956.000,Elexon BMRS FUELHH
2016-07-01T03:00:00Z,Wind,2766.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Coal,530.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Gas,8350.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Hydro,25.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Imports & Exports,2782.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Nuclear,6734.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Other,765.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Pumped Storage,-2124.000,Elexon BMRS FUELHH
2016-07-01T03:30:00Z,Wind,2724.000,Elexon BMRS FUELHH
2016-07-01T04:00:00Z,Coal,537.000,Elexon BMRS FUELHH
2016-07-01T04:00:00Z,Gas,8822.000,Elexon BMRS FUELHH
2016-07-01T04:00:00Z,Hydro,25.000,Elexon BMRS FUELHH
