time,technology,generationMW,source
2023-02-01T00:00:00Z,Biomass,1797.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Coal,323.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Gas,3035.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Hydro,340.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Imports & Exports,-1988.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Nuclear,4803.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Other,184.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Pumped Storage,-962.000,Elexon BMRS FUELHH
2023-02-01T00:00:00Z,Wind,15608.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Biomass,1827.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Coal,394.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Gas,3393.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Hydro,339.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Imports & Exports,-1794.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Nuclear,4807.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Other,213.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Pumped Storage,-954.000,Elexon BMRS FUELHH
2023-02-01T00:30:00Z,Wind,15568.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Biomass,1962.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Coal,448.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Gas,3405.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Hydro,348.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Imports & Exports,-2030.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Nuclear,4806.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Other,186.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Pumped Storage,-1136.000,Elexon BMRS FUELHH
2023-02-01T01:00:00Z,Wind,15487.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Biomass,2007.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Coal,406.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Gas,3180.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Hydro,351.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Imports & Exports,-2130.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Nuclear,4806.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Other,161.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Pumped Storage,-1038.000,Elexon BMRS FUELHH
2023-02-01T01:30:00Z,Wind,15349.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Biomass,1972.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Coal,283.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Gas,3035.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Hydro,348.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Imports & Exports,-2430.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Nuclear,4807.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Other,170.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Pumped Storage,-1032.000,Elexon BMRS FUELHH
2023-02-01T02:00:00Z,Wind,15382.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Biomass,1937.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Coal,269.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Gas,2833.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Hydro,345.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Imports & Exports,-2506.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Nuclear,4806.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Other,152.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Pumped Storage,-1000.000,Elexon BMRS FUELHH
2023-02-01T02:30:00Z,Wind,15490.000,Elexon BMRS FUELHH
