time,technology,generationMW,source
2019-01-31T23:30:00Z,Biomass,518.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Coal,586.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Gas,13193.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Hydro,236.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Imports & Exports,4202.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Nuclear,6994.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Other,68.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Pumped Storage,-446.000,Elexon BMRS FUELHH
2019-01-31T23:30:00Z,Wind,5619.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Biomass,505.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Coal,583.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Gas,13118.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Hydro,188.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Imports & Exports,4634.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Nuclear,6985.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Other,68.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Pumped Storage,-950.000,Elexon BMRS FUELHH
2019-02-01T00:00:00Z,Wind,5549.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Biomass,503.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Coal,579.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Gas,13102.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Hydro,169.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Imports & Exports,4694.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Nuclear,6995.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Other,68.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Pumped Storage,-502.000,Elexon BMRS FUELHH
2019-02-01T00:30:00Z,Wind,5592.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Biomass,562.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Coal,581.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Gas,13679.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Hydro,125.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Imports & Exports,4812.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Nuclear,6991.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Other,68.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Pumped Storage,-1474.000,Elexon BMRS FUELHH
2019-02-01T01:00:00Z,Wind,5597.000,Elexon BMRS FUELHH
2019-02-01T01:30:00Z,Biomass,557.000,Elexon BMRS FUELHH
2019-02-01T01:30:00Z,Coal,578.000,Elexon BMRS FUELHH
2019-02-01T01:30:00Z,Gas,13386.000,Elexon BMRS FUELHH
2019-02-01T01:30:00Z,Hydro,124.000,Elexon BMRS FUELHH
2019-02-01T01:30:00Z,Imports & Exports,4834.000,Elexon BMRS FUELHH
