source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,BIOMASS,1546.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,CCGT,2848.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,COAL,0.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTELEC,0.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTEW,334.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTFR,-181.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTIFA2,-4.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTIRL,320.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTNED,588.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTNEM,-103.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,INTNSL,220.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,NPSHYD,288.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,NUCLEAR,6803.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,OCGT,1.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,OIL,0.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,OTHER,68.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,PS,-721.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Sheffield Solar PVLive,2022-01-01T00:00:00Z,SOLAR,0.000,,2026-06-08T23:22:52.442174Z
Elexon BMRS FUELINST,2022-01-01T00:00:00Z,WIND,10392.000,2022-01-01T00:05:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,BIOMASS,1552.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,CCGT,2839.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,COAL,0.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTELEC,0.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTEW,358.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTFR,-181.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTIFA2,-4.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTIRL,320.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTNED,584.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTNEM,-104.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,INTNSL,210.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,NPSHYD,286.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,NUCLEAR,6799.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,OCGT,0.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,OIL,0.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,OTHER,64.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,PS,-578.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:05:00Z,WIND,10246.000,2022-01-01T00:10:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,BIOMASS,1540.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,CCGT,2888.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,COAL,0.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTELEC,0.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTEW,383.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTFR,-181.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTIFA2,-4.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTIRL,320.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTNED,584.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTNEM,-104.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,INTNSL,206.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,NPSHYD,286.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,NUCLEAR,6794.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,OCGT,0.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,OIL,0.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,OTHER,47.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,PS,-622.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:10:00Z,WIND,10211.000,2022-01-01T00:15:00Z,2026-06-08T23:22:51.576841Z
Elexon BMRS FUELINST,2022-01-01T00:15:00Z,BIOMASS,1527.000,2022-01-01T00:20:00Z,2026-06-08T23:22:51.576841Z
