source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,BIOMASS,442.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,CCGT,17083.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,COAL,989.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTELEC,0.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTEW,6.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTFR,-1031.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTIFA2,-1029.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTIRL,91.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTNED,-515.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTNEM,-833.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,INTNSL,-1087.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,NPSHYD,121.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,NUCLEAR,4553.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,OCGT,53.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,OIL,0.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,OTHER,231.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,PS,-18.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Sheffield Solar PVLive,2022-08-01T00:00:00Z,SOLAR,0.000,,2026-06-08T23:29:25.066150Z
Elexon BMRS FUELINST,2022-08-01T00:00:00Z,WIND,1065.000,2022-08-01T00:05:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,BIOMASS,442.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,CCGT,17026.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,COAL,989.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTELEC,0.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTEW,14.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTFR,-1030.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTIFA2,-1028.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTIRL,116.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTNED,-516.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTNEM,-827.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,INTNSL,-1153.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,NPSHYD,121.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,NUCLEAR,4560.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,OCGT,54.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,OIL,0.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,OTHER,230.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,PS,-180.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:05:00Z,WIND,1028.000,2022-08-01T00:10:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,BIOMASS,448.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,CCGT,17091.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,COAL,991.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTELEC,0.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTEW,14.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTFR,-1031.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTIFA2,-1029.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTIRL,141.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTNED,-515.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTNEM,-827.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,INTNSL,-1187.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,NPSHYD,121.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,NUCLEAR,4560.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,OCGT,53.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,OIL,0.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,OTHER,228.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,PS,-297.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:10:00Z,WIND,1011.000,2022-08-01T00:15:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,BIOMASS,487.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,CCGT,17141.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,COAL,989.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTELEC,0.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTEW,14.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTFR,-1031.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTIFA2,-1029.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTIRL,159.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTNED,-516.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTNEM,-827.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,INTNSL,-1188.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,NPSHYD,121.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,NUCLEAR,4561.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,OCGT,53.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,OIL,0.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,OTHER,231.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,PS,-557.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:15:00Z,WIND,1005.000,2022-08-01T00:20:00Z,2026-06-08T23:29:24.645663Z
Elexon BMRS FUELINST,2022-08-01T00:20:00Z,BIOMASS,469.000,2022-08-01T00:25:00Z,2026-06-08T23:29:24.645663Z
