source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,BIOMASS,1132.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,CCGT,2767.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,COAL,0.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTELEC,0.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTEW,0.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTFR,49.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTIFA2,-41.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTIRL,45.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTNED,352.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTNEM,575.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,INTNSL,693.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,NPSHYD,474.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,NUCLEAR,5581.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,OCGT,0.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,OIL,0.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,OTHER,138.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Elexon BMRS FUELINST,2021-11-01T00:00:00Z,PS,-1631.000,2021-11-01T00:05:00Z,2026-06-07T23:32:08.108509Z
Sheffield Solar PVLive,2021-11-01T00:00:00Z,SOLAR,0.000,,2026-06-07T23:32:08.641841Z
