source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,BIOMASS,2136.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,CCGT,15190.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,COAL,0.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTEW,-536.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTFR,2004.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTIFA2,-4.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTIRL,-456.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTNED,0.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTNEM,999.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,INTNSL,1.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,NPSHYD,208.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,NUCLEAR,4378.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,OCGT,1.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,OIL,0.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,OTHER,119.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,PS,-600.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Sheffield Solar PVLive,2021-05-01T00:00:00Z,SOLAR,0.000,,2026-06-07T23:24:42.550469Z
Elexon BMRS FUELINST,2021-05-01T00:00:00Z,WIND,539.000,2021-05-01T00:05:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,BIOMASS,2143.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,CCGT,15226.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,COAL,0.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTEW,-536.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTFR,2004.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTIFA2,-4.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTIRL,-456.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTNED,0.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTNEM,999.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,INTNSL,1.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,NPSHYD,208.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,NUCLEAR,4374.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,OCGT,3.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,OIL,0.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,OTHER,119.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,PS,-610.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:05:00Z,WIND,557.000,2021-05-01T00:10:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,BIOMASS,2137.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,CCGT,15260.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,COAL,0.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTEW,-536.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTFR,2004.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTIFA2,-4.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTIRL,-456.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTNED,0.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTNEM,1000.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,INTNSL,1.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,NPSHYD,208.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,NUCLEAR,4365.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,OCGT,2.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,OIL,0.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,OTHER,117.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,PS,-669.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:10:00Z,WIND,581.000,2021-05-01T00:15:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:15:00Z,BIOMASS,2127.000,2021-05-01T00:20:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:15:00Z,CCGT,15220.000,2021-05-01T00:20:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:15:00Z,COAL,0.000,2021-05-01T00:20:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:15:00Z,INTEW,-521.000,2021-05-01T00:20:00Z,2026-06-07T23:24:42.031524Z
Elexon BMRS FUELINST,2021-05-01T00:15:00Z,INTFR,2004.000,2021-05-01T00:20:00Z,2026-06-07T23:24:42.031524Z
