source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,BIOMASS,3116.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,CCGT,11268.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,COAL,0.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTEW,203.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTFR,2004.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTIFA2,0.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTIRL,158.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTNED,0.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,INTNEM,999.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,NPSHYD,385.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,NUCLEAR,5949.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,OCGT,0.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,OIL,0.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,OTHER,191.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,PS,-17.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Sheffield Solar PVLive,2021-01-01T00:00:00Z,SOLAR,0.000,,2026-06-07T23:19:52.819852Z
Elexon BMRS FUELINST,2021-01-01T00:00:00Z,WIND,4586.000,2021-01-01T00:05:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,BIOMASS,3116.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,CCGT,11357.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,COAL,0.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTEW,203.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTFR,2004.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTIFA2,0.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTIRL,183.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTNED,0.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,INTNEM,1000.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
Elexon BMRS FUELINST,2021-01-01T00:05:00Z,NPSHYD,382.000,2021-01-01T00:10:00Z,2026-06-07T23:19:51.729362Z
