time,technology,generationMW,source
2026-03-01T00:00:00Z,Biomass,2273.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Gas,4580.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Hydro,654.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Imports & Exports,4524.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Nuclear,3981.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Other,566.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Pumped Storage,104.000,Elexon BMRS FUELHH
2026-03-01T00:00:00Z,Wind,8624.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Biomass,2273.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Gas,3941.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Hydro,605.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Imports & Exports,4822.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Nuclear,3980.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Other,801.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Pumped Storage,106.000,Elexon BMRS FUELHH
2026-03-01T00:30:00Z,Wind,9234.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Biomass,2269.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Gas,3749.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Hydro,503.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Imports & Exports,4420.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Nuclear,3977.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Other,541.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Pumped Storage,-10.000,Elexon BMRS FUELHH
2026-03-01T01:00:00Z,Wind,10087.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Biomass,2272.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Gas,3200.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Hydro,472.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Imports & Exports,4428.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Nuclear,3977.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Other,314.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Pumped Storage,-12.000,Elexon BMRS FUELHH
2026-03-01T01:30:00Z,Wind,10372.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Biomass,2072.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Gas,2725.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Hydro,498.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Imports & Exports,3368.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Nuclear,3975.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Other,699.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Pumped Storage,-10.000,Elexon BMRS FUELHH
2026-03-01T02:00:00Z,Wind,10415.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Biomass,1554.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Gas,2527.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Hydro,548.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Imports & Exports,3256.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Nuclear,3976.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Other,560.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Pumped Storage,-12.000,Elexon BMRS FUELHH
2026-03-01T02:30:00Z,Wind,11150.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Biomass,1150.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Gas,2550.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Hydro,472.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Imports & Exports,2186.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Nuclear,3972.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Other,570.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Pumped Storage,-16.000,Elexon BMRS FUELHH
2026-03-01T03:00:00Z,Wind,11987.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Biomass,1146.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Gas,2539.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Hydro,467.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Imports & Exports,2210.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Nuclear,3962.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Other,297.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Pumped Storage,-288.000,Elexon BMRS FUELHH
2026-03-01T03:30:00Z,Wind,12388.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Biomass,1146.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Gas,2537.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Hydro,467.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Imports & Exports,952.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Nuclear,3967.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Other,225.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Pumped Storage,-294.000,Elexon BMRS FUELHH
2026-03-01T04:00:00Z,Wind,13023.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Biomass,1146.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Gas,2532.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Hydro,451.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Imports & Exports,856.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Nuclear,3972.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Other,310.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Pumped Storage,-360.000,Elexon BMRS FUELHH
2026-03-01T04:30:00Z,Wind,13792.000,Elexon BMRS FUELHH
2026-03-01T05:00:00Z,Biomass,1146.000,Elexon BMRS FUELHH
