source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,BIOMASS,1451.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,CCGT,3814.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,COAL,0.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTELEC,999.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTEW,-527.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTFR,618.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTIFA2,684.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTIRL,-391.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTNED,856.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTNEM,628.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,INTNSL,1095.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,NPSHYD,164.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,NUCLEAR,4293.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,OCGT,0.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,OIL,0.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,OTHER,168.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,PS,-1223.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Sheffield Solar PVLive,2023-04-01T00:00:00Z,SOLAR,0.000,,2026-06-09T23:47:23.224385Z
Elexon BMRS FUELINST,2023-04-01T00:00:00Z,WIND,8972.000,2023-04-01T00:05:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,BIOMASS,1541.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,CCGT,3765.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,COAL,0.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTELEC,999.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTEW,-527.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTFR,561.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTIFA2,622.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTIRL,-391.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTNED,856.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTNEM,584.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,INTNSL,1095.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,NPSHYD,164.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,NUCLEAR,4284.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,OCGT,0.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,OIL,0.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,OTHER,102.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,PS,-889.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:05:00Z,WIND,9050.000,2023-04-01T00:10:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:10:00Z,BIOMASS,1667.000,2023-04-01T00:15:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:10:00Z,CCGT,3703.000,2023-04-01T00:15:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:10:00Z,COAL,0.000,2023-04-01T00:15:00Z,2026-06-09T23:47:22.840127Z
Elexon BMRS FUELINST,2023-04-01T00:10:00Z,INTELEC,999.000,2023-04-01T00:15:00Z,2026-06-09T23:47:22.840127Z
