source,periodStartUTC,fuelType,generationMW,publishTimeUTC,fetchedAtUTC
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,BIOMASS,759.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,CCGT,7059.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,COAL,0.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTELEC,415.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTEW,-527.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTFR,1136.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTIFA2,242.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTIRL,-451.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTNED,121.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTNEM,15.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,INTNSL,1298.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,NPSHYD,81.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,NUCLEAR,5280.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,OCGT,0.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,OIL,0.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,OTHER,114.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,PS,-194.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Sheffield Solar PVLive,2023-06-01T00:00:00Z,SOLAR,0.000,,2026-06-09T23:49:07.517099Z
Elexon BMRS FUELINST,2023-06-01T00:00:00Z,WIND,4850.000,2023-06-01T00:05:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,BIOMASS,757.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,CCGT,6921.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,COAL,0.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTELEC,439.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTEW,-527.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTFR,1161.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTIFA2,310.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTIRL,-451.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTNED,117.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTNEM,16.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,INTNSL,1298.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,NPSHYD,76.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,NUCLEAR,5275.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,OCGT,0.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,OIL,0.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,OTHER,117.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
Elexon BMRS FUELINST,2023-06-01T00:05:00Z,PS,-202.000,2023-06-01T00:10:00Z,2026-06-09T23:49:07.126366Z
