time,technology,generationMW,source
2020-05-31T22:30:00Z,Biomass,2447.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Gas,4386.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Hydro,232.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Imports & Exports,2964.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Nuclear,4634.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Other,148.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Pumped Storage,-10.000,Elexon BMRS FUELHH
2020-05-31T22:30:00Z,Wind,5932.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Biomass,2442.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Gas,4451.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Hydro,157.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Imports & Exports,2452.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Nuclear,4647.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Other,139.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Pumped Storage,-8.000,Elexon BMRS FUELHH
2020-05-31T23:00:00Z,Wind,5540.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Biomass,2434.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Gas,4280.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Hydro,157.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Imports & Exports,2510.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Nuclear,4669.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Other,138.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Pumped Storage,-204.000,Elexon BMRS FUELHH
2020-05-31T23:30:00Z,Wind,5407.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Biomass,2447.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Gas,4410.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Hydro,157.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Imports & Exports,1980.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Nuclear,4665.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Other,154.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Pumped Storage,-60.000,Elexon BMRS FUELHH
2020-06-01T00:00:00Z,Wind,5230.000,Elexon BMRS FUELHH
2020-06-01T00:30:00Z,Biomass,2451.000,Elexon BMRS FUELHH
