time,technology,generationMW,source
2021-02-28T23:30:00Z,Biomass,1704.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Gas,14353.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Hydro,441.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Imports & Exports,4402.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Nuclear,3906.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Other,110.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Pumped Storage,-1112.000,Elexon BMRS FUELHH
2021-02-28T23:30:00Z,Wind,1587.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Biomass,1680.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Gas,14473.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Hydro,410.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Imports & Exports,4548.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Nuclear,3905.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Other,113.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Pumped Storage,-1170.000,Elexon BMRS FUELHH
2021-03-01T00:00:00Z,Wind,1530.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Biomass,1687.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Gas,14799.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Hydro,404.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Imports & Exports,4598.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Nuclear,3906.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Other,109.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Pumped Storage,-1024.000,Elexon BMRS FUELHH
2021-03-01T00:30:00Z,Wind,1557.000,Elexon BMRS FUELHH
2021-03-01T01:00:00Z,Biomass,1686.000,Elexon BMRS FUELHH
2021-03-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-03-01T01:00:00Z,Gas,14822.000,Elexon BMRS FUELHH
2021-03-01T01:00:00Z,Hydro,404.000,Elexon BMRS FUELHH
