time,technology,generationMW,source
2021-09-30T22:30:00Z,Biomass,1679.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Gas,3504.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Hydro,294.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Imports & Exports,1176.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Nuclear,4954.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Other,117.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Pumped Storage,326.000,Elexon BMRS FUELHH
2021-09-30T22:30:00Z,Wind,10090.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Biomass,1681.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Gas,3436.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Hydro,226.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Imports & Exports,748.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Nuclear,4952.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Other,120.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Pumped Storage,124.000,Elexon BMRS FUELHH
2021-09-30T23:00:00Z,Wind,9899.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Biomass,1678.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Gas,3013.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Hydro,225.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Imports & Exports,748.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Nuclear,4958.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Other,117.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Pumped Storage,-44.000,Elexon BMRS FUELHH
2021-09-30T23:30:00Z,Wind,9740.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Biomass,1683.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Gas,3306.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Hydro,225.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Imports & Exports,294.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Nuclear,4951.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Other,117.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Pumped Storage,-224.000,Elexon BMRS FUELHH
2021-10-01T00:00:00Z,Wind,9692.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Biomass,1684.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Gas,3372.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Hydro,210.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Imports & Exports,306.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Nuclear,4950.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Other,116.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Pumped Storage,-308.000,Elexon BMRS FUELHH
2021-10-01T00:30:00Z,Wind,9624.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Biomass,1699.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Gas,3658.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Hydro,206.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Imports & Exports,124.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Nuclear,4866.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Other,114.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Pumped Storage,-772.000,Elexon BMRS FUELHH
2021-10-01T01:00:00Z,Wind,9707.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Biomass,1721.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Gas,3384.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Hydro,203.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Imports & Exports,118.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Nuclear,4699.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Other,114.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Pumped Storage,-872.000,Elexon BMRS FUELHH
2021-10-01T01:30:00Z,Wind,9860.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Biomass,1653.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Gas,2954.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Hydro,197.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Imports & Exports,570.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Nuclear,4685.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Other,121.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Pumped Storage,-1146.000,Elexon BMRS FUELHH
2021-10-01T02:00:00Z,Wind,9849.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Biomass,1627.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Gas,3041.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Hydro,203.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Imports & Exports,608.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Nuclear,4683.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Other,122.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Pumped Storage,-1150.000,Elexon BMRS FUELHH
2021-10-01T02:30:00Z,Wind,9767.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Biomass,1636.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Gas,3167.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Hydro,203.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Imports & Exports,360.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Nuclear,4686.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Other,123.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Pumped Storage,-1186.000,Elexon BMRS FUELHH
2021-10-01T03:00:00Z,Wind,9959.000,Elexon BMRS FUELHH
2021-10-01T03:30:00Z,Biomass,1641.000,Elexon BMRS FUELHH
2021-10-01T03:30:00Z,Coal,0.000,Elexon BMRS FUELHH
2021-10-01T03:30:00Z,Gas,2970.000,Elexon BMRS FUELHH
2021-10-01T03:30:00Z,Hydro,192.000,Elexon BMRS FUELHH
2021-10-01T03:30:00Z,Imports & Exports,320.000,Elexon BMRS FUELHH
